id,condition,title,buying_mode,price,original_price,sale_amount,sale_type,available_quantity,accepts_mercadopago,use_thumbnail_id,health,Seller_City,Seller_state
MLB2944510209,new,Tênis Masculino Academia Caminhada Vili Barato Leve Corrida,buy_it_now,109.9,,109.9,standard,250,True,True,0.88,Pará de Minas,Minas Gerais
MLB3700431557,new,Tênis Olympikus Dynamic Esportivo Masculino Original Ref -34,buy_it_now,227.99,299.99,227.99,promotion,50,True,True,0.88,Curitiba,Paraná
MLB4215203790,new,Tênis Esportivo Feminino Vili All Journey Academia Caminhada,buy_it_now,106.08,115.31,106.08,promotion,150,True,True,0.8,Pará de Minas,Minas Gerais
MLB2674002441,new,Tênis Cross Tryd 5400 Academia Caminhada Confortável Leve,buy_it_now,65.99,99.99,65.99,promotion,250,True,True,0.77,Nova Serrana,Minas Gerais
MLB3814824593,new,Tênis Casual Feminino Nyx Olympikus Novidade,buy_it_now,155.99,189.99,155.99,promotion,250,True,True,0.88,Cajamar,São Paulo
MLB3440744867,new,Blusa Regata Feminina Academia Tapa Bumbum Sobre Legging Dry,buy_it_now,25.93,39.9,25.93,promotion,500,True,True,0.85,Divinópolis,Minas Gerais
MLB3602157619,new,Sapato Feminino Tenis Ortopédico Esporão Facite Top,buy_it_now,68.34,119.9,68.34,promotion,1,True,True,0.77,Criciúma,Santa Catarina
MLB5054978814,new,Tênis Casual Air Plataforma Feminino Lançamento Promoção,buy_it_now,71.25,109.9,71.25,promotion,200,True,True,0.66,Nova Serrana,Minas Gerais
MLB4431566654,new,Tenis Esportivo Ds Go Ahead Estilo Leve Confortavel,buy_it_now,48.45,61.02,48.45,promotion,100,True,True,0.87,Nova Serrana,Minas Gerais
MLB3494717474,new,Kit Tenis Confortavel Masculino P/academia Corrida + Relógio,buy_it_now,74.95,78.9,74.95,promotion,100,True,True,0.77,Franca,São Paulo
MLB1735071183,new,Tenis Academia Corrida Original Caminhada Evoltenn Crossfit,buy_it_now,71.01,78.9,71.01,promotion,250,True,True,0.66,Franca,São Paulo
MLB4839290752,new,Tênis Asics Jolt 4 Feminino Corrida - Caminhada,buy_it_now,234.24,333.22,234.24,promotion,150,True,True,1.0,São Paulo Centro,São Paulo
MLB1728032806,new,Tenis Masculino Para Academia #promoção,buy_it_now,68.34,119.9,68.34,promotion,250,True,True,0.77,Nova Serrana,Minas Gerais
MLB2206211343,new,Kit 2 Faixa Elástica De Cabeça Esporte Corrida Futebol Yoga,buy_it_now,11.51,15.99,11.51,promotion,1,True,True,0.85,São Bernardo do Campo,São Paulo
MLB2795714771,new,Tênis Feminino Modare Ultraconforto Gel Tech Macio Original,buy_it_now,113.89,138.9,113.89,promotion,50,True,True,0.77,Jacareí,São Paulo
